VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2021-01-01 00:40:58,2021-01-01 00:52:42,1,2.96,1,N,79,256,1,12,0.5,0.5,3.95,0,0.3,19.75,2.5
1,2021-01-01 00:19:03,2021-01-01 00:23:12,1,.80,1,N,48,68,1,5,3,0.5,0.2,0,0.3,9,2.5
1,2021-01-01 00:34:37,2021-01-01 00:53:36,1,5.00,1,N,246,146,2,17.5,3,0.5,0,0,0.3,21.3,2.5
2,2021-01-01 00:34:26,2021-01-01 00:57:26,1,6.91,1,N,148,189,1,23.5,0.5,0.5,6.82,0,0.3,34.12,2.5
2,2021-01-01 00:04:53,2021-01-01 00:21:50,1,3.67,1,N,113,255,1,15.5,0.5,0.5,4.83,0,0.3,24.13,2.5
2,2021-01-01 00:30:38,2021-01-01 00:48:34,1,5.08,1,N,144,238,1,17,0.5,0.5,2,0,0.3,22.8,2.5
2,2021-01-01 00:25:04,2021-01-01 00:30:16,1,1.27,1,N,230,142,1,6,0.5,0.5,2.94,0,0.3,12.74,2.5
1,2021-01-01 00:03:48,2021-01-01 00:17:16,1,.00,1,Y,72,61,1,14.2,0,0.5,0,0,0.3,15,0
1,2021-01-01 00:19:31,2021-01-01 00:19:51,1,.00,1,Y,61,61,3,2.5,0.5,0.5,0,0,0.3,3.8,0
2,2021-01-01 00:30:05,2021-01-01 00:37:32,5,3.19,1,N,263,107,1,10.5,0.5,0.5,2.86,0,0.3,17.16,2.5
2,2021-01-01 00:57:34,2021-01-01 01:02:37,5,1.44,1,N,164,249,1,6,0.5,0.5,1.96,0,0.3,11.76,2.5
1,2021-01-01 00:39:05,2021-01-01 00:44:20,0,.70,1,N,211,231,1,5.5,3,0.5,2.75,0,0.3,12.05,2.5
2,2021-01-01 00:17:47,2021-01-01 00:20:34,6,.69,1,N,246,68,1,4.5,0.5,0.5,1.66,0,0.3,9.96,2.5
2,2021-01-01 00:12:57,2021-01-01 23:27:19,1,2.65,1,N,260,223,2,10.5,0.5,0.5,0,0,0.3,11.8,0
2,2021-01-01 00:37:10,2021-01-01 00:42:15,1,1.57,1,N,141,170,1,6.5,0.5,0.5,1.54,0,0.3,11.84,2.5
2,2021-01-01 00:53:18,2021-01-01 01:02:57,1,2.56,1,N,237,238,1,10.5,0.5,0.5,4.29,0,0.3,18.59,2.5
2,2020-12-31 18:41:27,2021-01-01 17:52:03,1,2.61,1,N,90,229,1,10,0.5,0.5,2.76,0,0.3,16.56,2.5
2,2021-01-01 00:50:06,2021-01-01 01:05:57,2,3.76,1,N,107,33,1,15,0.5,0.5,4,0,0.3,22.8,2.5
2,2021-01-01 00:21:28,2021-01-01 00:36:25,1,8.80,1,N,132,265,2,24.5,0.5,0.5,0,0,0.3,25.8,0
1,2021-01-01 00:11:01,2021-01-01 00:18:29,1,2.00,1,N,48,68,1,8,3,0.5,0,0,0.3,11.8,2.5
1,2021-01-01 00:20:55,2021-01-01 00:31:07,1,2.00,1,N,68,4,1,9,3,0.5,3.2,0,0.3,16,2.5
1,2021-01-01 00:52:41,2021-01-01 01:06:03,1,1.40,1,N,230,237,1,10,3,0.5,2,0,0.3,15.8,2.5
1,2021-01-01 00:14:05,2021-01-01 00:34:05,2,6.20,1,N,88,239,1,19.5,3,0.5,4.65,0,0.3,27.95,2.5
2,2021-01-01 00:27:50,2021-01-01 00:40:10,1,2.12,1,N,48,90,1,10,0.5,0.5,2.76,0,0.3,16.56,2.5
2,2021-01-01 00:59:37,2021-01-01 01:15:00,2,3.60,1,N,164,239,1,13.5,0.5,0.5,2,0,0.3,19.3,2.5
1,2021-01-01 00:43:50,2021-01-01 00:45:09,1,.60,1,Y,249,90,2,4,3,0.5,0,0,0.3,7.8,2.5
2,2021-01-01 00:15:32,2021-01-01 00:25:33,1,2.13,1,N,143,236,2,9.5,0.5,0.5,0,0,0.3,13.3,2.5
2,2021-01-01 00:10:00,2021-01-01 00:14:14,1,.50,1,N,236,262,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5
2,2021-01-01 00:21:42,2021-01-01 00:29:57,4,2.07,1,N,43,239,1,9,0.5,0.5,3.2,0,0.3,16,2.5
2,2021-01-01 00:22:57,2021-01-01 00:26:47,1,1.20,1,N,142,238,2,5.5,0.5,0.5,0,0,0.3,9.3,2.5
2,2021-01-01 00:29:18,2021-01-01 00:36:37,1,2.08,1,N,238,74,2,8.5,0.5,0.5,0,0,0.3,12.3,2.5
2,2021-01-01 00:39:37,2021-01-01 00:51:02,1,4.35,1,N,75,164,2,13.5,0.5,0.5,0,0,0.3,17.3,2.5
2,2021-01-01 00:53:24,2021-01-01 01:10:03,1,5.07,1,N,100,261,2,17,0.5,0.5,0,0,0.3,20.8,2.5
2,2021-01-01 00:09:23,2021-01-01 00:18:11,3,2.18,1,N,161,140,1,9,0.5,0.5,2.56,0,0.3,15.36,2.5
2,2021-01-01 00:19:16,2021-01-01 00:21:56,1,.52,1,N,140,141,2,4,0.5,0.5,0,0,0.3,7.8,2.5
2,2021-01-01 00:27:06,2021-01-01 00:35:15,1,3.09,1,N,237,224,2,11,0.5,0.5,0,0,0.3,14.8,2.5
2,2021-01-01 00:58:39,2021-01-01 01:48:22,1,27.07,1,N,75,117,1,73.5,0.5,0.5,1,8.41,0.3,84.21,0
2,2021-01-01 00:30:39,2021-01-01 00:34:52,2,.73,1,N,237,140,1,5,0.5,0.5,1.76,0,0.3,10.56,2.5
2,2021-01-01 00:09:21,2021-01-01 00:16:10,1,1.69,1,N,237,236,2,7.5,0.5,0.5,0,0,0.3,11.3,2.5
2,2021-01-01 00:38:01,2021-01-01 00:52:18,1,3.39,1,N,230,75,2,13.5,0.5,0.5,0,0,0.3,17.3,2.5
1,2021-01-01 00:56:55,2021-01-01 01:13:30,1,7.60,1,N,140,212,1,23,3,0.5,0,0,0.3,26.8,2.5
1,2021-01-01 00:18:18,2021-01-01 00:32:30,1,4.50,1,N,234,74,1,14.5,3,0.5,2.7,0,0.3,21,2.5
2,2021-01-01 00:17:51,2021-01-01 00:26:47,1,1.62,1,N,75,74,2,6.5,0.5,0.5,0,0,0.3,7.8,0
2,2021-01-01 00:12:43,2021-01-01 00:20:09,1,1.68,1,N,230,239,1,7.5,0.5,0.5,2.26,0,0.3,13.56,2.5
2,2021-01-01 00:32:51,2021-01-01 00:48:08,1,3.57,1,N,48,263,2,14,0.5,0.5,0,0,0.3,17.8,2.5
2,2021-01-01 00:54:26,2021-01-01 00:57:42,1,.66,1,N,141,229,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5
1,2021-01-01 00:27:00,2021-01-01 00:30:14,2,.70,1,N,48,50,1,4.5,3,0.5,1.65,0,0.3,9.95,2.5
1,2021-01-01 00:31:11,2021-01-01 00:33:48,2,.60,1,N,50,50,1,4,3,0.5,1.55,0,0.3,9.35,2.5
1,2021-01-01 00:38:54,2021-01-01 00:49:54,1,2.90,1,N,142,236,1,11.5,3,0.5,2,0,0.3,17.3,2.5
1,2021-01-01 00:54:04,2021-01-01 01:02:33,1,2.70,1,N,263,164,2,10,3,0.5,0,0,0.3,13.8,2.5
2,2021-01-01 00:11:14,2021-01-01 00:15:43,4,.55,1,N,231,87,1,5,0.5,0.5,1.32,0,0.3,10.12,2.5
2,2021-01-01 00:23:33,2021-01-01 00:33:01,1,5.31,1,N,45,141,2,-16,-0.5,-0.5,0,0,-0.3,-19.8,-2.5
2,2021-01-01 00:23:33,2021-01-01 00:33:01,1,5.31,1,N,45,263,2,16,0.5,0.5,0,0,0.3,19.8,2.5
2,2021-01-01 01:00:39,2021-01-01 01:27:42,1,9.29,1,N,50,95,2,29,0.5,0.5,0,0,0.3,32.8,2.5
2,2021-01-01 00:41:27,2021-01-01 00:55:54,2,3.88,1,N,238,158,2,13.5,0.5,0.5,0,0,0.3,17.3,2.5
2,2021-01-01 00:12:44,2021-01-01 00:20:47,3,1.53,1,N,211,79,2,7.5,0.5,0.5,0,0,0.3,11.3,2.5
2,2021-01-01 00:22:35,2021-01-01 00:40:03,4,4.62,1,N,79,43,1,17,0.5,0.5,1,0,0.3,21.8,2.5
2,2021-01-01 00:06:19,2021-01-01 00:19:48,1,3.47,1,N,140,151,2,13,0.5,0.5,0,0,0.3,16.8,2.5
2,2021-01-01 00:21:29,2021-01-01 00:31:30,1,2.60,1,N,151,141,2,10.5,0.5,0.5,0,0,0.3,14.3,2.5
1,2021-01-01 00:09:50,2021-01-01 00:19:43,2,2.10,1,N,48,158,2,9,3,0.5,0,0,0.3,12.8,2.5
1,2021-01-01 00:51:23,2021-01-01 01:13:58,2,4.30,1,N,230,232,1,17.5,3,0.5,5.3,0,0.3,26.6,2.5
1,2021-01-01 00:19:11,2021-01-01 00:27:37,1,3.40,1,N,263,137,1,11,3,0.5,2.95,0,0.3,17.75,2.5
1,2021-01-01 00:29:22,2021-01-01 00:35:15,1,2.30,1,N,137,232,2,8.5,3,0.5,0,0,0.3,12.3,2.5
1,2021-01-01 00:45:18,2021-01-01 00:47:27,1,.70,1,N,107,137,1,4,3,0.5,1.55,0,0.3,9.35,2.5
1,2021-01-01 00:52:04,2021-01-01 00:57:56,1,1.40,1,N,162,107,2,7,3,0.5,0,0,0.3,10.8,2.5
2,2021-01-01 00:04:11,2021-01-01 00:10:03,2,1.51,1,N,236,75,2,7,0.5,0.5,0,0,0.3,10.8,2.5
2,2021-01-01 00:18:06,2021-01-01 00:35:13,6,2.07,1,N,100,162,1,12.5,0.5,0.5,3.26,0,0.3,19.56,2.5
2,2021-01-01 00:55:06,2021-01-01 00:58:30,2,1.01,1,N,236,141,1,5,0.5,0.5,2.2,0,0.3,11,2.5
2,2021-01-01 01:00:55,2021-01-01 01:13:24,2,3.79,1,N,140,7,1,13,0.5,0.5,5.04,0,0.3,21.84,2.5
2,2021-01-01 00:24:18,2021-01-01 00:27:07,2,.65,1,N,68,68,2,4,0.5,0.5,0,0,0.3,7.8,2.5
2,2021-01-01 00:32:07,2021-01-01 00:33:46,2,.38,1,N,68,68,2,3.5,0.5,0.5,0,0,0.3,7.3,2.5
2,2021-01-01 00:52:29,2021-01-01 00:55:42,2,.55,1,N,246,48,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5
1,2021-01-01 00:47:24,2021-01-01 00:53:50,4,1.20,1,N,262,140,1,7,3,0.5,2.16,0,0.3,12.96,2.5
2,2021-01-01 00:40:28,2021-01-01 00:50:24,1,2.85,1,N,233,262,2,10.5,0.5,0.5,0,0,0.3,14.3,2.5
2,2021-01-01 00:54:06,2021-01-01 01:12:20,2,2.54,1,N,263,74,2,10.5,0.5,0.5,0,0,0.3,14.3,2.5
2,2021-01-01 00:14:09,2021-01-01 00:22:30,6,2.21,1,N,48,90,1,8.5,0.5,0.5,3.69,0,0.3,15.99,2.5
2,2021-01-01 00:30:48,2021-01-01 00:38:30,6,.88,1,N,234,170,1,6.5,0.5,0.5,1.54,0,0.3,11.84,2.5
2,2021-01-01 00:43:30,2021-01-01 00:51:24,6,3.24,1,N,264,264,1,10.5,0.5,0.5,3.54,0,0.3,15.34,0
2,2021-01-01 00:54:39,2021-01-01 01:14:45,6,4.97,1,N,263,246,1,18.5,0.5,0.5,5.58,0,0.3,27.88,2.5
2,2021-01-01 00:06:32,2021-01-01 00:17:45,2,4.81,1,N,239,244,2,15.5,0.5,0.5,0,0,0.3,19.3,2.5
2,2021-01-01 00:55:50,2021-01-01 01:07:14,3,3.86,1,N,48,236,1,13,0.5,0.5,4.2,0,0.3,21,2.5
1,2021-01-01 00:13:48,2021-01-01 00:20:59,2,1.90,1,N,246,158,1,8,3,0.5,2,0,0.3,13.8,2.5
1,2021-01-01 00:50:23,2021-01-01 01:07:16,1,7.50,1,N,239,127,1,23,3,0.5,5,0,0.3,31.8,2.5
2,2021-01-01 00:26:05,2021-01-01 00:54:59,1,12.88,1,N,164,11,2,37.5,0.5,0.5,0,0,0.3,41.3,2.5
2,2021-01-01 00:23:19,2021-01-01 00:50:13,2,16.66,1,N,132,178,2,46,0.5,0.5,0,0,0.3,47.3,0
2,2021-01-01 00:51:26,2021-01-01 00:51:35,2,.00,5,N,178,123,1,45,0,0,9.06,0,0.3,54.36,0
1,2021-01-01 00:18:47,2021-01-01 00:38:01,3,16.00,1,N,70,200,1,42.5,0.5,0.5,4.08,6.12,0.3,54,0
2,2021-01-01 00:56:34,2021-01-01 01:19:04,1,5.71,1,N,48,80,2,20.5,0.5,0.5,0,0,0.3,24.3,2.5
2,2021-01-01 00:28:17,2021-01-01 00:52:25,1,15.26,1,N,132,89,2,42,0.5,0.5,0,0,0.3,43.3,0
1,2021-01-01 00:28:15,2021-01-01 00:37:42,0,2.70,1,N,162,263,2,10.5,3,0.5,0,0,0.3,14.3,2.5
1,2021-01-01 00:42:09,2021-01-01 00:51:02,0,3.00,1,N,263,233,1,10.5,3,0.5,3.55,0,0.3,17.85,2.5
2,2021-01-01 00:17:18,2021-01-01 00:20:56,1,.49,1,N,148,232,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5
2,2021-01-01 00:26:24,2021-01-01 00:55:56,1,7.86,1,N,79,166,1,27.5,0.5,0.5,2.5,0,0.3,33.8,2.5
2,2021-01-01 00:19:17,2021-01-01 00:24:00,1,.66,1,N,234,164,1,5,0.5,0.5,1.76,0,0.3,10.56,2.5
